EmpID,FirstName,LastName,StartDate,ExitDate,Title,BusinessUnit,EmployeeStatus,EmployeeType,PayZone,EmployeeClassificationType,TerminationType,TerminationDescription,DepartmentType,Division,DOB,State,JobFunctionDescription,GenderCode,Performance Score,Current Employee Rating,Survey Date,Engagement Score,Satisfaction Score,Work-Life Balance Score,Training Date,Training Program Name,Training Type,Training Outcome,Location,Trainer,Training Duration(Days),Training Cost
3427,Uriah,Bridges,20-Sep-19,,Production Technician I,CCDR,Active,Contract,Zone C,Temporary,Unk,,Production       ,Finance & Accounting,07-10-1969,MA,Accounting,Female,Fully Meets,4,14-01-2023,1,2,3,15-Jul-23,Leadership Development,Internal,Failed,South Marisa,Taylor Rodriguez,2,606.11
3428,Paula,Small,11-Feb-23,,Production Technician I,EW,Active,Contract,Zone A,Part-Time,Unk,,Production       ,Aerial,30-08-1965,MA,Labor,Male,Fully Meets,3,09-09-2022,2,1,5,12-Sep-22,Customer Service,External,Incomplete,Tammieville,Kelly Patterson DDS,4,673.02
3429,Edward,Buck,10-Dec-18,,Area Sales Manager,PL,Active,Full-Time,Zone B,Part-Time,Unk,,Sales,General - Sga,06-10-1991,MA,Assistant,Male,Fully Meets,4,27-05-2023,1,2,1,13-Aug-22,Leadership Development,External,Failed,East Roberthaven,Taylor Thomas,2,413.28
3430,Michael,Riordan,21-Jun-21,,Area Sales Manager,CCDR,Active,Contract,Zone A,Full-Time,Unk,,Sales,Finance & Accounting,04-04-1998,ND,Clerk,Male,Fully Meets,2,16-06-2023,5,5,4,15-Dec-22,Project Management,External,Completed,Garzatown,Holly Elliott,3,663.78
3431,Jasmine,Onque,29-Jun-19,,Area Sales Manager,TNS,Active,Contract,Zone A,Temporary,Unk,,Sales,General - Con,29-08-1969,FL,Laborer,Female,Fully Meets,3,25-11-2022,2,5,3,13-Jul-23,Technical Skills,External,Failed,Lake Meganville,Donald Martinez,5,399.03
3432,Maruk,Fraval,17-Jan-20,,Area Sales Manager,BPC,Active,Contract,Zone B,Full-Time,Unk,,Sales,Field Operations,03-04-1949,CT,Driver,Male,Fully Meets,3,12-12-2022,2,3,5,18-Apr-23,Project Management,Internal,Passed,Kingchester,Holly Sloan,2,820.33
3433,Latia,Costa,06-Apr-22,03-Jul-23,Area Sales Manager,WBL,Active,Full-Time,Zone B,Temporary,Involuntary,Me see picture nature degree benefit.,Sales,General - Eng,01-07-1942,CA,Technician,Female,Exceeds,4,25-03-2023,1,5,2,06-Aug-22,Customer Service,External,Passed,Lancehaven,David Stewart,5,295.08
3434,Sharlene,Terry,06-Nov-20,29-Jan-23,Area Sales Manager,CCDR,Active,Contract,Zone C,Full-Time,Involuntary,Blue community type skill story.,Sales,Engineers,07-03-1957,OR,Engineer,Female,Fully Meets,2,21-04-2023,1,4,2,07-Oct-22,Leadership Development,Internal,Passed,Jeremyshire,Stephanie Garza,3,790.15
3435,Jac,McKinzie,18-Aug-18,,Area Sales Manager,NEL,Active,Contract,Zone B,Part-Time,Unk,,Sales,Executive,15-05-1974,TX,Executive Assistant,Male,Exceeds,3,09-12-2022,4,3,3,19-Jul-23,Customer Service,Internal,Passed,West Randall,John Brown,3,798.4
3436,Joseph,Martins,21-Jan-22,29-Jun-23,Area Sales Manager,BPC,Active,Part-Time,Zone B,Temporary,Resignation,Summer personal bag.,Sales,Engineers,11-11-1949,TX,Engineer,Male,Fully Meets,5,30-07-2023,5,5,2,09-Apr-23,Leadership Development,Internal,Failed,Nicolebury,Megan Wilson,5,192.61
3437,Myriam,Givens,04-Aug-23,,Area Sales Manager,SVG,Active,Contract,Zone B,Temporary,Unk,,Sales,Field Operations,26-01-1964,IN,Technician,Female,Fully Meets,5,15-10-2022,3,2,5,20-Oct-22,Technical Skills,Internal,Failed,Jenniferhaven,Mrs. Valerie Brown,1,455.68
3438,Dheepa,Nguyen,10-Aug-18,04-Nov-19,Area Sales Manager,MSC,Active,Full-Time,Zone C,Temporary,Retirement,Alone once than. More condition pay far.,Sales,General - Con,06-04-1948,GA,Technician,Female,Fully Meets,3,28-10-2022,4,2,5,05-Oct-22,Technical Skills,Internal,Failed,Nunezmouth,Sharon Flores DDS,2,208.17
3439,Bartholemew,Khemmich,25-May-22,27-Nov-22,Area Sales Manager,EW,Active,Full-Time,Zone A,Temporary,Involuntary,Foot in theory minute recognize test.,Sales,Splicing,24-11-1981,CO,Splicer,Male,Fully Meets,3,30-10-2022,1,2,5,09-Mar-23,Technical Skills,External,Incomplete,Port Margaretview,Kimberly Garcia,1,421.07
3440,Xana,Potts,05-Dec-19,17-Feb-23,Area Sales Manager,CCDR,Active,Contract,Zone A,Full-Time,Resignation,Degree wish science when thing week old.,Sales,Finance & Accounting,06-11-1951,KY,Controller,Female,Fully Meets,3,24-09-2022,1,4,5,29-May-23,Communication Skills,External,Failed,Nancyview,Christopher Underwood,1,649.03
3441,Prater,Jeremy,28-Apr-19,,Area Sales Manager,BPC,Active,Part-Time,Zone A,Part-Time,Unk,,Sales,General - Con,21-11-1989,NV,Lineman,Male,Exceeds,4,30-10-2022,4,2,5,08-Jan-23,Project Management,Internal,Passed,Carrollside,Robert Kane,4,450.2
3442,Kaylah,Moon,09-Jul-19,16-Jun-22,Area Sales Manager,PYZ,Active,Full-Time,Zone A,Full-Time,Retirement,Fear particular method stage.,IT/IS,Field Operations,24-11-1952,MA,Laborer,Male,Exceeds,2,31-10-2022,2,5,3,06-Mar-23,Project Management,External,Failed,Port Davidshire,Victoria Berry,4,286.87
3443,Kristen,Tate,05-Apr-21,12-May-23,Area Sales Manager,WBL,Active,Full-Time,Zone C,Part-Time,Voluntary,Wall body wonder successful.,IT/IS,Project Management - Con,08-04-1994,KY,Coordinator,Male,Fully Meets,3,29-04-2023,2,2,4,18-Feb-23,Technical Skills,External,Failed,East Katie,Gary Thornton,3,402.13
3444,Bobby,Rodgers,28-Nov-21,04-Feb-22,Area Sales Manager,NEL,Active,Contract,Zone A,Part-Time,Voluntary,Visit foot nearly radio treatment.,Sales,Engineers,15-11-1983,KY,Director,Male,Fully Meets,3,14-12-2022,1,2,4,02-Nov-22,Technical Skills,External,Failed,Jacobburgh,William Willis,2,388.84
3445,Reid,Park,16-Jan-21,,Area Sales Manager,PL,Active,Contract,Zone C,Full-Time,Unk,,Sales,Project Management - Con,07-12-1985,KY,Supervisor,Female,Exceeds,4,07-05-2023,4,5,2,14-Jul-23,Project Management,External,Completed,Ryanmouth,Andre Wu,2,879.64
3446,Hector,Dalton,24-Aug-21,,Area Sales Manager,BPC,Active,Part-Time,Zone A,Part-Time,Unk,,Sales,Field Operations,01-05-1996,TX,Driller,Female,Exceeds,2,21-05-2023,4,3,5,11-Dec-22,Technical Skills,Internal,Failed,South John,Olivia Holland,5,701.13
3447,Mariela,Schultz,26-May-20,18-Jun-23,Area Sales Manager,CCDR,Future Start,Part-Time,Zone C,Part-Time,Involuntary,Unit pass office southern break one.,Sales,General - Con,17-02-1964,TX,Technician,Female,Fully Meets,3,08-05-2023,5,1,4,02-Apr-23,Customer Service,Internal,Incomplete,Kristenton,Kimberly Doyle,3,353.21
3448,Angela,Molina,01-Oct-19,06-Nov-20,Area Sales Manager,SVG,Future Start,Full-Time,Zone A,Temporary,Retirement,List class mind.,Sales,Engineers,12-05-1958,TX,Specialist,Male,Fully Meets,3,28-03-2023,5,1,5,16-May-23,Communication Skills,Internal,Completed,West Jamesview,Lindsay Williams,4,911.05
3449,Gerald,Preston,10-May-23,27-May-23,Area Sales Manager,EW,Future Start,Contract,Zone B,Temporary,Involuntary,Price third parent evening.,Sales,General - Eng,18-09-1992,CO,Technician,Male,Fully Meets,5,30-06-2023,3,2,1,02-Oct-22,Communication Skills,External,Completed,Josebury,Joseph Faulkner,3,242.21
3450,Reilly,Moyer,01-Sep-20,04-Dec-22,Area Sales Manager,MSC,Active,Contract,Zone C,Temporary,Resignation,Cause military a sense. Doctor property may.,Sales,Field Operations,11-08-1994,CO,Operator,Male,Exceeds,2,18-01-2023,4,3,5,12-Jan-23,Technical Skills,Internal,Completed,South Benjaminfurt,Laura Davis,4,186.07
3451,Carlee,French,18-Feb-21,11-Nov-22,Area Sales Manager,TNS,Active,Contract,Zone C,Full-Time,Voluntary,Station another son positive.,Sales,General - Con,15-01-1968,CO,Technician,Male,Exceeds,3,29-04-2023,5,1,2,22-Mar-23,Technical Skills,External,Completed,Duncanview,Betty Williams,1,921.97
3452,Jaydon,Blackburn,08-Nov-22,,Area Sales Manager,PYZ,Active,Part-Time,Zone A,Part-Time,Unk,,Sales,General - Con,07-01-1947,IN,Foreman,Male,Fully Meets,2,19-01-2023,5,5,2,13-Sep-22,Customer Service,Internal,Failed,Lake Jonathan,Daniel Miller,1,691.04
3453,Bridger,Carter,13-Oct-22,,Area Sales Manager,WBL,Active,Contract,Zone C,Part-Time,Unk,,Sales,Fielders,07-04-1982,MA,Engineer,Male,Fully Meets,4,17-09-2022,5,5,3,25-Aug-22,Customer Service,External,Completed,Port Jamesshire,Samantha Hodge,5,964.44
3454,Leon,Beard,11-Sep-22,,Area Sales Manager,PYZ,Active,Full-Time,Zone C,Full-Time,Unk,,IT/IS,General - Con,29-01-1970,KY,Foreman,Male,Needs Improvement,4,14-03-2023,4,4,2,07-Feb-23,Communication Skills,Internal,Passed,West Brandon,Jonathan Brady,3,184.9
